answer,pct,pollster,methodology,population,population_full,sample_size,numeric_grade,pollscore,party,transparency_score,end_date
Trump,45,Siena/NYT,Live Phone,rv,rv,1082,3,-1.5,REP,9,9/16/24
Stein,1,Siena/NYT,Live Phone,rv,rv,1082,3,-1.5,GRE,9,9/16/24
Oliver,1,Siena/NYT,Live Phone,rv,rv,1082,3,-1.5,LIB,9,9/16/24
Harris,49,Siena/NYT,Live Phone,lv,lv,1082,3,-1.5,DEM,9,9/16/24
Trump,45,Siena/NYT,Live Phone,lv,lv,1082,3,-1.5,REP,9,9/16/24
Stein,1,Siena/NYT,Live Phone,lv,lv,1082,3,-1.5,GRE,9,9/16/24
Oliver,1,Siena/NYT,Live Phone,lv,lv,1082,3,-1.5,LIB,9,9/16/24
Harris,48,Noble Predictive Insights,Online Panel/Text-to-Web,lv,lv,692,2.4,-0.4,DEM,6,9/16/24
Trump,47,Noble Predictive Insights,Online Panel/Text-to-Web,lv,lv,692,2.4,-0.4,REP,6,9/16/24
Harris,48,Noble Predictive Insights,Online Panel/Text-to-Web,rv,rv,812,2.4,-0.4,DEM,6,9/16/24
Trump,45,Noble Predictive Insights,Online Panel/Text-to-Web,rv,rv,812,2.4,-0.4,REP,6,9/16/24
Harris,47,Noble Predictive Insights,Online Panel/Text-to-Web,lv,lv,692,2.4,-0.4,DEM,6,9/16/24
Trump,47,Noble Predictive Insights,Online Panel/Text-to-Web,lv,lv,692,2.4,-0.4,REP,6,9/16/24
Oliver,1,Noble Predictive Insights,Online Panel/Text-to-Web,lv,lv,692,2.4,-0.4,LIB,6,9/16/24
Stein,0,Noble Predictive Insights,Online Panel/Text-to-Web,lv,lv,692,2.4,-0.4,GRE,6,9/16/24
Harris,46,Noble Predictive Insights,Online Panel/Text-to-Web,rv,rv,812,2.4,-0.4,DEM,6,9/16/24
Trump,43,Noble Predictive Insights,Online Panel/Text-to-Web,rv,rv,812,2.4,-0.4,REP,6,9/16/24
Oliver,1,Noble Predictive Insights,Online Panel/Text-to-Web,rv,rv,812,2.4,-0.4,LIB,6,9/16/24
Stein,0,Noble Predictive Insights,Online Panel/Text-to-Web,rv,rv,812,2.4,-0.4,GRE,6,9/16/24
Harris,48.4,InsiderAdvantage,Text,lv,lv,800,2,-0.3,DEM,5,9/15/24
Trump,49.8,InsiderAdvantage,Text,lv,lv,800,2,-0.3,REP,5,9/15/24
Harris,51,Morning Consult,Online Panel,lv,lv,11022,1.9,-0.3,DEM,3,9/15/24
Trump,45,Morning Consult,Online Panel,lv,lv,11022,1.9,-0.3,REP,3,9/15/24
Harris,44.5,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1098,0.7,0.6,DEM,4,9/15/24
Trump,46.2,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1098,0.7,0.6,REP,4,9/15/24
Harris,44.9,Big Village,Online Panel,a,a,2027,1.2,1.7,DEM,9,9/15/24
Trump,39.4,Big Village,Online Panel,a,a,2027,1.2,1.7,REP,9,9/15/24
Harris,47.7,Big Village,Online Panel,rv,rv,1724,1.2,1.7,DEM,9,9/15/24
Trump,42.5,Big Village,Online Panel,rv,rv,1724,1.2,1.7,REP,9,9/15/24
Harris,50.5,Big Village,Online Panel,lv,lv,1568,1.2,1.7,DEM,9,9/15/24
Trump,43.4,Big Village,Online Panel,lv,lv,1568,1.2,1.7,REP,9,9/15/24
Harris,44.4,U. Georgia SPIA,Live Phone,lv,lv,1000,2.2,-0.2,DEM,7,9/15/24
Trump,46.9,U. Georgia SPIA,Live Phone,lv,lv,1000,2.2,-0.2,REP,7,9/15/24
Oliver,0.3,U. Georgia SPIA,Live Phone,lv,lv,1000,2.2,-0.2,LIB,7,9/15/24
Stein,0.1,U. Georgia SPIA,Live Phone,lv,lv,1000,2.2,-0.2,GRE,7,9/15/24
West,0.7,U. Georgia SPIA,Live Phone,lv,lv,1000,2.2,-0.2,IND,7,9/15/24
De la Cruz,0,U. Georgia SPIA,Live Phone,lv,lv,1000,2.2,-0.2,PSL,7,9/15/24
Harris,50,Pan Atlantic Research,Online Panel,lv,lv,812,2.1,-0.1,DEM,7,9/15/24
Trump,41,Pan Atlantic Research,Online Panel,lv,lv,812,2.1,-0.1,REP,7,9/15/24
West,1,Pan Atlantic Research,Online Panel,lv,lv,812,2.1,-0.1,IND,7,9/15/24
Stein,1,Pan Atlantic Research,Online Panel,lv,lv,812,2.1,-0.1,GRE,7,9/15/24
Oliver,1,Pan Atlantic Research,Online Panel,lv,lv,812,2.1,-0.1,LIB,7,9/15/24
Harris,58,Pan Atlantic Research,Online Panel,lv,lv,414,2.1,-0.1,DEM,7,9/15/24
Trump,32,Pan Atlantic Research,Online Panel,lv,lv,414,2.1,-0.1,REP,7,9/15/24
Harris,42,Pan Atlantic Research,Online Panel,lv,lv,398,2.1,-0.1,DEM,7,9/15/24
Trump,49,Pan Atlantic Research,Online Panel,lv,lv,398,2.1,-0.1,REP,7,9/15/24
Harris,49,Franklin and Marshall College,Mail-to-Web/Mail-to-Phone,rv,rv,890,2.4,-0.1,DEM,8.5,9/15/24
Trump,46,Franklin and Marshall College,Mail-to-Web/Mail-to-Phone,rv,rv,890,2.4,-0.1,REP,8.5,9/15/24
Stein,1,Franklin and Marshall College,Mail-to-Web/Mail-to-Phone,rv,rv,890,2.4,-0.1,GRE,8.5,9/15/24
Oliver,1,Franklin and Marshall College,Mail-to-Web/Mail-to-Phone,rv,rv,890,2.4,-0.1,LIB,8.5,9/15/24
Harris,50,Morning Consult,Online Panel,lv,lv,10868,1.9,-0.3,DEM,3,9/14/24
Trump,45,Morning Consult,Online Panel,lv,lv,10868,1.9,-0.3,REP,3,9/14/24
Harris,48.6,Suffolk,Live Phone,lv,lv,500,2.9,-1,DEM,8,9/14/24
Trump,45.6,Suffolk,Live Phone,lv,lv,500,2.9,-1,REP,8,9/14/24
Oliver,0.4,Suffolk,Live Phone,lv,lv,500,2.9,-1,LIB,8,9/14/24
Stein,0.2,Suffolk,Live Phone,lv,lv,500,2.9,-1,GRE,8,9/14/24
Harris,48,Fabrizio/Impact,Live Phone,lv,lv,600,1.7,-0.3,DEM,2,9/14/24
Trump,45,Fabrizio/Impact,Live Phone,lv,lv,600,1.7,-0.3,REP,2,9/14/24
Kennedy,2,Fabrizio/Impact,Live Phone,lv,lv,600,1.7,-0.3,IND,2,9/14/24
Stein,1,Fabrizio/Impact,Live Phone,lv,lv,600,1.7,-0.3,GRE,2,9/14/24
Oliver,0,Fabrizio/Impact,Live Phone,lv,lv,600,1.7,-0.3,LIB,2,9/14/24
West,0,Fabrizio/Impact,Live Phone,lv,lv,600,1.7,-0.3,IND,2,9/14/24
Terry,0,Fabrizio/Impact,Live Phone,lv,lv,600,1.7,-0.3,CON,2,9/14/24
Harris,49,Fabrizio/Impact,Live Phone,lv,lv,600,1.7,-0.3,DEM,2,9/14/24
Trump,48,Fabrizio/Impact,Live Phone,lv,lv,600,1.7,-0.3,REP,2,9/14/24
Harris,53,Keating Research,Live Phone/Text-to-Web,lv,lv,500,1.5,0.1,DEM,3,9/14/24
Trump,42,Keating Research,Live Phone/Text-to-Web,lv,lv,500,1.5,0.1,REP,3,9/14/24
Harris,50,Data for Progress,Online Panel,lv,lv,1283,2.6,-1.2,DEM,10,9/13/24
Trump,46,Data for Progress,Online Panel,lv,lv,1283,2.6,-1.2,REP,10,9/13/24
Harris,65.3,Emerson,Online Panel/Text-to-Web,lv,lv,890,2.9,-1.1,DEM,7,9/13/24
Trump,33.3,Emerson,Online Panel/Text-to-Web,lv,lv,890,2.9,-1.1,REP,7,9/13/24
Harris,43.4,Emerson,Online Panel/Text-to-Web,lv,lv,850,2.9,-1.1,DEM,7,9/13/24
Trump,55.2,Emerson,Online Panel/Text-to-Web,lv,lv,850,2.9,-1.1,REP,7,9/13/24
Harris,40.7,Emerson,Online Panel/Text-to-Web,lv,lv,1000,2.9,-1.1,DEM,7,9/13/24
Trump,57.9,Emerson,Online Panel/Text-to-Web,lv,lv,1000,2.9,-1.1,REP,7,9/13/24
Harris,50,YouGov,Online Panel,rv,rv,1177,3,-1.1,DEM,9,9/13/24
Trump,45,YouGov,Online Panel,rv,rv,1177,3,-1.1,REP,9,9/13/24
Harris,50,YouGov,Online Panel,lv,lv,1090,3,-1.1,DEM,9,9/13/24
Trump,46,YouGov,Online Panel,lv,lv,1090,3,-1.1,REP,9,9/13/24
Harris,48,YouGov,Online Panel,rv,rv,1175,3,-1.1,DEM,9,9/13/24
Trump,44,YouGov,Online Panel,rv,rv,1175,3,-1.1,REP,9,9/13/24
West,1,YouGov,Online Panel,rv,rv,1175,3,-1.1,IND,9,9/13/24
Stein,1,YouGov,Online Panel,rv,rv,1175,3,-1.1,GRE,9,9/13/24
Oliver,1,YouGov,Online Panel,rv,rv,1175,3,-1.1,LIB,9,9/13/24
Harris,49,YouGov,Online Panel,lv,lv,1090,3,-1.1,DEM,9,9/13/24
Trump,45,YouGov,Online Panel,lv,lv,1090,3,-1.1,REP,9,9/13/24
West,1,YouGov,Online Panel,lv,lv,1090,3,-1.1,IND,9,9/13/24
Stein,1,YouGov,Online Panel,lv,lv,1090,3,-1.1,GRE,9,9/13/24
Oliver,1,YouGov,Online Panel,lv,lv,1090,3,-1.1,LIB,9,9/13/24
Harris,47,TIPP,Online Panel,rv,rv,1721,1.8,-0.4,DEM,3,9/13/24
Trump,43,TIPP,Online Panel,rv,rv,1721,1.8,-0.4,REP,3,9/13/24
Harris,45,TIPP,Online Panel,rv,rv,1721,1.8,-0.4,DEM,3,9/13/24
Trump,41,TIPP,Online Panel,rv,rv,1721,1.8,-0.4,REP,3,9/13/24
Kennedy,5,TIPP,Online Panel,rv,rv,1721,1.8,-0.4,IND,3,9/13/24
Harris,45.9,TIPP,Online Panel,lv,lv,973,1.8,-0.4,DEM,3,9/13/24
Trump,48.9,TIPP,Online Panel,lv,lv,973,1.8,-0.4,REP,3,9/13/24
Harris,51,Ipsos,Probability Panel,a,a,3276,2.8,-0.9,DEM,9.5,9/13/24
Trump,46,Ipsos,Probability Panel,a,a,3276,2.8,-0.9,REP,9.5,9/13/24
Harris,51,Ipsos,Probability Panel,rv,rv,2772,2.8,-0.9,DEM,9.5,9/13/24
Trump,47,Ipsos,Probability Panel,rv,rv,2772,2.8,-0.9,REP,9.5,9/13/24
Harris,52,Ipsos,Probability Panel,lv,lv,2196,2.8,-0.9,DEM,9.5,9/13/24
Trump,46,Ipsos,Probability Panel,lv,lv,2196,2.8,-0.9,REP,9.5,9/13/24
Harris,51,Ipsos,Probability Panel,a,a,3276,2.8,-0.9,DEM,9.5,9/13/24
Trump,45,Ipsos,Probability Panel,a,a,3276,2.8,-0.9,REP,9.5,9/13/24
West,1,Ipsos,Probability Panel,a,a,3276,2.8,-0.9,IND,9.5,9/13/24
Stein,1,Ipsos,Probability Panel,a,a,3276,2.8,-0.9,GRE,9.5,9/13/24
Oliver,1,Ipsos,Probability Panel,a,a,3276,2.8,-0.9,LIB,9.5,9/13/24
Harris,50,Ipsos,Probability Panel,rv,rv,2772,2.8,-0.9,DEM,9.5,9/13/24
Trump,46,Ipsos,Probability Panel,rv,rv,2772,2.8,-0.9,REP,9.5,9/13/24
West,1,Ipsos,Probability Panel,rv,rv,2772,2.8,-0.9,IND,9.5,9/13/24
Stein,1,Ipsos,Probability Panel,rv,rv,2772,2.8,-0.9,GRE,9.5,9/13/24
Oliver,1,Ipsos,Probability Panel,rv,rv,2772,2.8,-0.9,LIB,9.5,9/13/24
Harris,51,Ipsos,Probability Panel,lv,lv,2196,2.8,-0.9,DEM,9.5,9/13/24
Trump,46,Ipsos,Probability Panel,lv,lv,2196,2.8,-0.9,REP,9.5,9/13/24
West,1,Ipsos,Probability Panel,lv,lv,2196,2.8,-0.9,IND,9.5,9/13/24
Stein,1,Ipsos,Probability Panel,lv,lv,2196,2.8,-0.9,GRE,9.5,9/13/24
Oliver,0,Ipsos,Probability Panel,lv,lv,2196,2.8,-0.9,LIB,9.5,9/13/24
Harris,45.3,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1079,0.7,0.6,DEM,4,9/13/24
Trump,43.5,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1079,0.7,0.6,REP,4,9/13/24
Harris,50,Morning Consult,Online Panel,lv,lv,10270,1.9,-0.3,DEM,3,9/13/24
Trump,45,Morning Consult,Online Panel,lv,lv,10270,1.9,-0.3,REP,3,9/13/24
Harris,52,HarrisX,Online Panel,rv,rv,3018,1.5,-0.1,DEM,6,9/13/24
Trump,48,HarrisX,Online Panel,rv,rv,3018,1.5,-0.1,REP,6,9/13/24
Harris,50,HarrisX,Online Panel,rv,rv,3018,1.5,-0.1,DEM,6,9/13/24
Trump,47,HarrisX,Online Panel,rv,rv,3018,1.5,-0.1,REP,6,9/13/24
West,2,HarrisX,Online Panel,rv,rv,3018,1.5,-0.1,IND,6,9/13/24
Stein,1,HarrisX,Online Panel,rv,rv,3018,1.5,-0.1,GRE,6,9/13/24
Harris,41,Change Research,Text-to-Web/Online Ad,rv,rv,1237,1.4,0.6,DEM,5,9/13/24
Trump,50,Change Research,Text-to-Web/Online Ad,rv,rv,1237,1.4,0.6,REP,5,9/13/24
Harris,47,J.L. Partners,Live Phone/Online Panel/Text-to-Web,a,a,744,1.6,0.2,DEM,6,9/13/24
Trump,42,J.L. Partners,Live Phone/Online Panel/Text-to-Web,a,a,744,1.6,0.2,REP,6,9/13/24
Kennedy,3,J.L. Partners,Live Phone/Online Panel/Text-to-Web,a,a,744,1.6,0.2,IND,6,9/13/24
Stein,1,J.L. Partners,Live Phone/Online Panel/Text-to-Web,a,a,744,1.6,0.2,GRE,6,9/13/24
West,1,J.L. Partners,Live Phone/Online Panel/Text-to-Web,a,a,744,1.6,0.2,IND,6,9/13/24
Oliver,1,J.L. Partners,Live Phone/Online Panel/Text-to-Web,a,a,744,1.6,0.2,LIB,6,9/13/24
Harris,49,Research & Polling,Live Phone,lv,lv,532,2.1,-0.9,DEM,3.5,9/13/24
Trump,39,Research & Polling,Live Phone,lv,lv,532,2.1,-0.9,REP,3.5,9/13/24
Harris,46,Elon U.,Online Panel,rv,rv,800,2.5,-0.6,DEM,8,9/13/24
Trump,45,Elon U.,Online Panel,rv,rv,800,2.5,-0.6,REP,8,9/13/24
Harris,44,Redfield & Wilton Strategies,Online Panel,lv,lv,1952,1.8,0.4,DEM,9,9/12/24
Trump,42,Redfield & Wilton Strategies,Online Panel,lv,lv,1952,1.8,0.4,REP,9,9/12/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,1952,1.8,0.4,LIB,9,9/12/24
Stein,1,Redfield & Wilton Strategies,Online Panel,lv,lv,1952,1.8,0.4,GRE,9,9/12/24
Harris,48,InsiderAdvantage,Text,lv,lv,800,2,-0.3,DEM,5,9/12/24
Trump,48.6,InsiderAdvantage,Text,lv,lv,800,2,-0.3,REP,5,9/12/24
Harris,47,Ipsos,Probability Panel,rv,rv,1405,2.8,-0.9,DEM,9.5,9/12/24
Trump,42,Ipsos,Probability Panel,rv,rv,1405,2.8,-0.9,REP,9.5,9/12/24
Harris,43,Ipsos,Probability Panel,a,a,1690,2.8,-0.9,DEM,9.5,9/12/24
Trump,39,Ipsos,Probability Panel,a,a,1690,2.8,-0.9,REP,9.5,9/12/24
Harris,51,St. Anselm,Online Panel,lv,lv,2241,2.4,-0.5,DEM,6,9/12/24
Trump,43,St. Anselm,Online Panel,lv,lv,2241,2.4,-0.5,REP,6,9/12/24
Oliver,1,St. Anselm,Online Panel,lv,lv,2241,2.4,-0.5,LIB,6,9/12/24
Stein,1,St. Anselm,Online Panel,lv,lv,2241,2.4,-0.5,GRE,6,9/12/24
West,0,St. Anselm,Online Panel,lv,lv,2241,2.4,-0.5,IND,6,9/12/24
Harris,51,St. Anselm,Online Panel,lv,lv,2241,2.4,-0.5,DEM,6,9/12/24
Trump,43,St. Anselm,Online Panel,lv,lv,2241,2.4,-0.5,REP,6,9/12/24
Oliver,1,St. Anselm,Online Panel,lv,lv,2241,2.4,-0.5,LIB,6,9/12/24
Stein,1,St. Anselm,Online Panel,lv,lv,2241,2.4,-0.5,GRE,6,9/12/24
West,0,St. Anselm,Online Panel,lv,lv,2241,2.4,-0.5,IND,6,9/12/24
Harris,42,Alaska Survey Research,Online Panel,lv,lv,1254,1.9,-0.1,DEM,7,9/12/24
Trump,47,Alaska Survey Research,Online Panel,lv,lv,1254,1.9,-0.1,REP,7,9/12/24
Kennedy,4,Alaska Survey Research,Online Panel,lv,lv,1254,1.9,-0.1,IND,7,9/12/24
Harris,46,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1094,0.7,0.6,DEM,4,9/12/24
Trump,48.4,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1094,0.7,0.6,REP,4,9/12/24
Harris,45.5,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1088,0.7,0.6,DEM,4,9/12/24
Trump,47.1,Trafalgar Group,IVR/Live Phone/Text/Online Panel/Email,lv,lv,1088,0.7,0.6,REP,4,9/12/24
Harris,50,Morning Consult,Online Panel,lv,lv,10100,1.9,-0.3,DEM,3,9/12/24
Trump,45,Morning Consult,Online Panel,lv,lv,10100,1.9,-0.3,REP,3,9/12/24
Harris,50,Morning Consult,Online Panel,lv,lv,3317,1.9,-0.3,DEM,3,9/11/24
Trump,45,Morning Consult,Online Panel,lv,lv,3317,1.9,-0.3,REP,3,9/11/24
Harris,48,Mitchell,IVR/Text-to-Web,lv,lv,580,2.4,-0.2,DEM,7,9/11/24
Trump,48,Mitchell,IVR/Text-to-Web,lv,lv,580,2.4,-0.2,REP,7,9/11/24
Harris,47,Mitchell,IVR/Text-to-Web,lv,lv,580,2.4,-0.2,DEM,7,9/11/24
Trump,46,Mitchell,IVR/Text-to-Web,lv,lv,580,2.4,-0.2,REP,7,9/11/24
Kennedy,2,Mitchell,IVR/Text-to-Web,lv,lv,580,2.4,-0.2,IND,7,9/11/24
Kishore,0,Mitchell,IVR/Text-to-Web,lv,lv,580,2.4,-0.2,IND,7,9/11/24
Stein,1,Mitchell,IVR/Text-to-Web,lv,lv,580,2.4,-0.2,GRE,7,9/11/24
Terry,0,Mitchell,IVR/Text-to-Web,lv,lv,580,2.4,-0.2,CON,7,9/11/24
West,0,Mitchell,IVR/Text-to-Web,lv,lv,580,2.4,-0.2,IND,7,9/11/24
Harris,47,Leger,Online Panel,lv,lv,1174,2,0,DEM,9,9/11/24
Trump,44,Leger,Online Panel,lv,lv,1174,2,0,REP,9,9/11/24
Harris,50,Morning Consult,Online Panel,lv,lv,9889,1.9,-0.3,DEM,3,9/11/24
Trump,46,Morning Consult,Online Panel,lv,lv,9889,1.9,-0.3,REP,3,9/11/24
Harris,43,Selzer,Live Phone,lv,lv,656,2.8,-1.2,DEM,7.5,9/11/24
Trump,47,Selzer,Live Phone,lv,lv,656,2.8,-1.2,REP,7.5,9/11/24
Kennedy,6,Selzer,Live Phone,lv,lv,656,2.8,-1.2,IND,7.5,9/11/24
Oliver,1,Selzer,Live Phone,lv,lv,656,2.8,-1.2,LIB,7.5,9/11/24
Harris,50,Morning Consult,Online Panel,lv,lv,3204,1.9,-0.3,DEM,3,9/10/24
Trump,46,Morning Consult,Online Panel,lv,lv,3204,1.9,-0.3,REP,3,9/10/24
Harris,45,YouGov,Online Panel,rv,rv,1464,3,-1.1,DEM,9,9/10/24
Trump,45,YouGov,Online Panel,rv,rv,1464,3,-1.1,REP,9,9/10/24
Stein,1,YouGov,Online Panel,rv,rv,1464,3,-1.1,GRE,9,9/10/24
West,1,YouGov,Online Panel,rv,rv,1464,3,-1.1,IND,9,9/10/24
Harris,50,Morning Consult,Online Panel,lv,lv,10482,1.9,-0.3,DEM,3,9/10/24
Trump,46,Morning Consult,Online Panel,lv,lv,10482,1.9,-0.3,REP,3,9/10/24
Harris,49,Morning Consult,Online Panel,lv,lv,10884,1.9,-0.3,DEM,3,9/9/24
Trump,46,Morning Consult,Online Panel,lv,lv,10884,1.9,-0.3,REP,3,9/9/24
Harris,46,Data Orbital,Live Phone/Text-to-Web,lv,lv,550,2.9,-0.9,DEM,10,9/9/24
Trump,46.2,Data Orbital,Live Phone/Text-to-Web,lv,lv,550,2.9,-0.9,REP,10,9/9/24
Harris,45,Redfield & Wilton Strategies,Online Panel,lv,lv,495,1.8,0.4,DEM,9,9/9/24
Trump,44,Redfield & Wilton Strategies,Online Panel,lv,lv,495,1.8,0.4,REP,9,9/9/24
Oliver,0,Redfield & Wilton Strategies,Online Panel,lv,lv,495,1.8,0.4,LIB,9,9/9/24
Stein,0,Redfield & Wilton Strategies,Online Panel,lv,lv,495,1.8,0.4,GRE,9,9/9/24
Harris,46,Redfield & Wilton Strategies,Online Panel,lv,lv,765,1.8,0.4,DEM,9,9/9/24
Trump,47,Redfield & Wilton Strategies,Online Panel,lv,lv,765,1.8,0.4,REP,9,9/9/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,765,1.8,0.4,LIB,9,9/9/24
Stein,1,Redfield & Wilton Strategies,Online Panel,lv,lv,765,1.8,0.4,GRE,9,9/9/24
Harris,44,Redfield & Wilton Strategies,Online Panel,lv,lv,1465,1.8,0.4,DEM,9,9/9/24
Trump,50,Redfield & Wilton Strategies,Online Panel,lv,lv,1465,1.8,0.4,REP,9,9/9/24
Oliver,0,Redfield & Wilton Strategies,Online Panel,lv,lv,1465,1.8,0.4,LIB,9,9/9/24
Stein,0,Redfield & Wilton Strategies,Online Panel,lv,lv,1465,1.8,0.4,GRE,9,9/9/24
Harris,47,Redfield & Wilton Strategies,Online Panel,lv,lv,562,1.8,0.4,DEM,9,9/9/24
Trump,49,Redfield & Wilton Strategies,Online Panel,lv,lv,562,1.8,0.4,REP,9,9/9/24
Oliver,0,Redfield & Wilton Strategies,Online Panel,lv,lv,562,1.8,0.4,LIB,9,9/9/24
Stein,1,Redfield & Wilton Strategies,Online Panel,lv,lv,562,1.8,0.4,GRE,9,9/9/24
Harris,48,Redfield & Wilton Strategies,Online Panel,lv,lv,556,1.8,0.4,DEM,9,9/9/24
Trump,45,Redfield & Wilton Strategies,Online Panel,lv,lv,556,1.8,0.4,REP,9,9/9/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,556,1.8,0.4,LIB,9,9/9/24
Stein,1,Redfield & Wilton Strategies,Online Panel,lv,lv,556,1.8,0.4,GRE,9,9/9/24
Harris,51,Redfield & Wilton Strategies,Online Panel,lv,lv,617,1.8,0.4,DEM,9,9/9/24
Trump,44,Redfield & Wilton Strategies,Online Panel,lv,lv,617,1.8,0.4,REP,9,9/9/24
Oliver,0,Redfield & Wilton Strategies,Online Panel,lv,lv,617,1.8,0.4,LIB,9,9/9/24
Stein,0,Redfield & Wilton Strategies,Online Panel,lv,lv,617,1.8,0.4,GRE,9,9/9/24
Harris,45,Redfield & Wilton Strategies,Online Panel,lv,lv,698,1.8,0.4,DEM,9,9/9/24
Trump,46,Redfield & Wilton Strategies,Online Panel,lv,lv,698,1.8,0.4,REP,9,9/9/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,698,1.8,0.4,LIB,9,9/9/24
Stein,1,Redfield & Wilton Strategies,Online Panel,lv,lv,698,1.8,0.4,GRE,9,9/9/24
Harris,49,Redfield & Wilton Strategies,Online Panel,lv,lv,521,1.8,0.4,DEM,9,9/9/24
Trump,44,Redfield & Wilton Strategies,Online Panel,lv,lv,521,1.8,0.4,REP,9,9/9/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,521,1.8,0.4,LIB,9,9/9/24
Stein,1,Redfield & Wilton Strategies,Online Panel,lv,lv,521,1.8,0.4,GRE,9,9/9/24
Harris,45,Redfield & Wilton Strategies,Online Panel,lv,lv,801,1.8,0.4,DEM,9,9/9/24
Trump,45,Redfield & Wilton Strategies,Online Panel,lv,lv,801,1.8,0.4,REP,9,9/9/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,801,1.8,0.4,LIB,9,9/9/24
Stein,0,Redfield & Wilton Strategies,Online Panel,lv,lv,801,1.8,0.4,GRE,9,9/9/24
Harris,49,Redfield & Wilton Strategies,Online Panel,lv,lv,626,1.8,0.4,DEM,9,9/9/24
Trump,46,Redfield & Wilton Strategies,Online Panel,lv,lv,626,1.8,0.4,REP,9,9/9/24
Oliver,1,Redfield & Wilton Strategies,Online Panel,lv,lv,626,1.8,0.4,LIB,9,9/9/24
Stein,0,Redfield & Wilton Strategies,Online Panel,lv,lv,626,1.8,0.4,GRE,9,9/9/24
Harris,41,CWS Research,Text-to-Web,lv,lv,504,1.6,0.2,DEM,6,9/9/24
Trump,51,CWS Research,Text-to-Web,lv,lv,504,1.6,0.2,REP,6,9/9/24
Oliver,2,CWS Research,Text-to-Web,lv,lv,504,1.6,0.2,LIB,6,9/9/24
Stein,0,CWS Research,Text-to-Web,lv,lv,504,1.6,0.2,GRE,6,9/9/24
Harris,44,Research America,Live Phone/Online Panel,a,a,1000,0.7,1.7,DEM,4,9/9/24
Trump,44,Research America,Live Phone/Online Panel,a,a,1000,0.7,1.7,REP,4,9/9/24
Kennedy,2,Research America,Live Phone/Online Panel,a,a,1000,0.7,1.7,IND,4,9/9/24
Stein,0,Research America,Live Phone/Online Panel,a,a,1000,0.7,1.7,GRE,4,9/9/24
Oliver,0,Research America,Live Phone/Online Panel,a,a,1000,0.7,1.7,LIB,4,9/9/24
Harris,47,Research America,Live Phone/Online Panel,lv,lv,756,0.7,1.7,DEM,4,9/9/24
Trump,46,Research America,Live Phone/Online Panel,lv,lv,756,0.7,1.7,REP,4,9/9/24
Kennedy,2,Research America,Live Phone/Online Panel,lv,lv,756,0.7,1.7,IND,4,9/9/24
Stein,0,Research America,Live Phone/Online Panel,lv,lv,756,0.7,1.7,GRE,4,9/9/24
Oliver,0,Research America,Live Phone/Online Panel,lv,lv,756,0.7,1.7,LIB,4,9/9/24
Harris,45,Research America,Live Phone/Online Panel,a,a,1000,0.7,1.7,DEM,4,9/9/24
Trump,45,Research America,Live Phone/Online Panel,a,a,1000,0.7,1.7,REP,4,9/9/24
Harris,48,Research America,Live Phone/Online Panel,lv,lv,756,0.7,1.7,DEM,4,9/9/24
Trump,46,Research America,Live Phone/Online Panel,lv,lv,756,0.7,1.7,REP,4,9/9/24
Harris,60,PPIC,Probability Panel,lv,lv,1071,2.5,-0.4,DEM,10,9/9/24
Trump,29,PPIC,Probability Panel,lv,lv,1071,2.5,-0.4,REP,10,9/9/24
Kennedy,4,PPIC,Probability Panel,lv,lv,1071,2.5,-0.4,IND,10,9/9/24
Oliver,1,PPIC,Probability Panel,lv,lv,1071,2.5,-0.4,LIB,10,9/9/24
Stein,1,PPIC,Probability Panel,lv,lv,1071,2.5,-0.4,GRE,10,9/9/24
De la Cruz,1,PPIC,Probability Panel,lv,lv,1071,2.5,-0.4,PSL,10,9/9/24
Harris,43.9,Big Village,Online Panel,a,a,2028,1.2,1.7,DEM,9,9/8/24
Trump,40.5,Big Village,Online Panel,a,a,2028,1.2,1.7,REP,9,9/8/24
Harris,47.5,Big Village,Online Panel,rv,rv,1722,1.2,1.7,DEM,9,9/8/24
Trump,43.2,Big Village,Online Panel,rv,rv,1722,1.2,1.7,REP,9,9/8/24
Harris,49.3,Big Village,Online Panel,lv,lv,1546,1.2,1.7,DEM,9,9/8/24
Trump,44.7,Big Village,Online Panel,lv,lv,1546,1.2,1.7,REP,9,9/8/24
Harris,49,Morning Consult,Online Panel,lv,lv,10607,1.9,-0.3,DEM,3,9/8/24
Trump,46,Morning Consult,Online Panel,lv,lv,10607,1.9,-0.3,REP,3,9/8/24
